                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     98,                0.65311,                0.69532,                0.99371,                0.96945,                      1,                  0.995,                0.85395,                0.67374,                0.75296,                 1.0715,              0.0011334,              0.0011334,              0.0011334
                     99,                0.66534,                 0.6285,                0.93241,                0.96945,                      1,                  0.995,                0.85395,                0.67374,                0.75296,                 1.0715,              0.0011279,              0.0011279,              0.0011279
                    100,                 0.6189,                0.60976,                0.98979,                0.94885,                      1,                  0.995,                0.83606,                0.64857,                0.81735,                 1.0427,              0.0011224,              0.0011224,              0.0011224
                    101,                0.55359,                0.62611,                 0.9343,                0.94885,                      1,                  0.995,                0.83606,                0.64857,                0.81735,                 1.0427,              0.0011169,              0.0011169,              0.0011169
                    102,                0.65567,                0.71397,                0.98678,                0.92773,                      1,                  0.995,                0.83996,                 0.6438,                0.91659,                 1.0407,              0.0011114,              0.0011114,              0.0011114
                    103,                0.59238,                0.60473,                0.91511,                0.92773,                      1,                  0.995,                0.83996,                 0.6438,                0.91659,                 1.0407,              0.0011059,              0.0011059,              0.0011059
                    104,                0.61842,                0.67702,                0.98091,                0.81729,                      1,                  0.995,                0.82555,                0.73572,                 1.0841,                 1.0844,              0.0011004,              0.0011004,              0.0011004
                    105,                 0.5899,                0.57526,                0.90685,                0.81729,                      1,                  0.995,                0.82555,                0.73572,                 1.0841,                 1.0844,              0.0010949,              0.0010949,              0.0010949
                    106,                0.57284,                0.57629,                0.90038,                0.73353,                    0.9,                0.93071,                0.75825,                0.80811,                 1.3993,                  1.111,              0.0010894,              0.0010894,              0.0010894
                    107,                0.57119,                0.58606,                 0.9256,                0.73353,                    0.9,                0.93071,                0.75825,                0.80811,                 1.3993,                  1.111,              0.0010839,              0.0010839,              0.0010839
                    108,                0.59862,                0.58951,                0.92535,                 0.6445,                    0.9,                0.91113,                0.70907,                0.85765,                 1.5351,                 1.1043,              0.0010784,              0.0010784,              0.0010784
                    109,                0.66106,                0.66693,                0.94813,                 0.6445,                    0.9,                0.91113,                0.70907,                0.85765,                 1.5351,                 1.1043,              0.0010729,              0.0010729,              0.0010729
                    110,                0.53144,                0.59559,                0.93493,                0.61466,                    0.9,                0.88667,                0.69337,                 0.8647,                 1.6721,                 1.1155,              0.0010674,              0.0010674,              0.0010674
                    111,                0.52833,                0.58092,                0.88938,                0.61466,                    0.9,                0.88667,                0.69337,                 0.8647,                 1.6721,                 1.1155,              0.0010619,              0.0010619,              0.0010619
                    112,                0.56788,                 0.5724,                0.93244,                0.96917,                    0.8,                0.90833,                0.73701,                0.87931,                 1.3345,                 1.1109,              0.0010564,              0.0010564,              0.0010564
                    113,                0.56331,                 0.5576,                 0.8975,                0.96917,                    0.8,                0.90833,                0.73701,                0.87931,                 1.3345,                 1.1109,              0.0010509,              0.0010509,              0.0010509
                    114,                0.60186,                0.62034,                0.95604,                0.93307,                0.88612,                0.91881,                0.70344,                0.99991,                 1.3088,                 1.1656,              0.0010454,              0.0010454,              0.0010454
                    115,                0.56969,                 0.5799,                0.92983,                0.93307,                0.88612,                0.91881,                0.70344,                0.99991,                 1.3088,                 1.1656,              0.0010399,              0.0010399,              0.0010399
                    116,                0.51121,                0.64167,                0.92215,                0.95162,                      1,                  0.995,                0.76306,                 1.0956,                 1.0235,                 1.2775,              0.0010344,              0.0010344,              0.0010344
                    117,                0.52154,                0.57824,                0.91614,                0.95162,                      1,                  0.995,                0.76306,                 1.0956,                 1.0235,                 1.2775,              0.0010289,              0.0010289,              0.0010289
                    118,                0.56251,                0.58798,                 0.9174,                0.98295,                      1,                  0.995,                0.77793,                0.78519,                0.86017,                 1.1085,              0.0010234,              0.0010234,              0.0010234
                    119,                0.55664,                0.55868,                0.91102,                0.98295,                      1,                  0.995,                0.77793,                0.78519,                0.86017,                 1.1085,              0.0010179,              0.0010179,              0.0010179
                    120,                0.54991,                0.58702,                0.92012,                 0.9786,                      1,                  0.995,                0.84745,                0.74802,                0.81505,                 1.0796,              0.0010124,              0.0010124,              0.0010124
                    121,                 0.5233,                0.54156,                0.89546,                 0.9786,                      1,                  0.995,                0.84745,                0.74802,                0.81505,                 1.0796,              0.0010069,              0.0010069,              0.0010069
